"Food","Quantity","Ingredients ","Veg/Non Veg/Egg","Price
Rs","PRAL","Oil","GL","Cals
Net of  TDF","AAF 
adj Prot","Carbs          (Net of TDF)","Total Fat","TDF","Sodium","Pota-ssium","Phosphorus","Calcium","Magnecium","Total EAA","Lysine","Gross Protein","Free Sugars","","","",""
"Allamurabba  ","1 piece - 15g","Elachi (green), Ginger,Jaggery,Sugar","Veg","","-0","0","10","62","0","15","0","0","0","18","0","0","0","24","2","0","6","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bajra Chilla ","1piece- 50g","Bajra,Ghee / Animal Fat,Pepper & Clove,Red Chillie powder,Turmeric,Carrot raw,Ginger,Onion - small
Capsicum Red & Yellow,Capsicum Green,Green Chillies,Kheera,Tomato - ripe,Salt","Veg","","1","2","10","133","2","20","4","5","331","213","99","22","47","629","15","4","40","","","",""
"","","","","20","","","","","","","","","","","","","","","","","","","","",""
"Curd Hung ","1 tbsp - 10g","FOS (1.6 cals/g of TDF),Buffalow Milk Curd 6 % + SMP (decreamed),Milk - Toned / Cow (3%) (decreamed)
Milk Powder - Skim ","Veg","","0","0","0","6","1","0","0","0","4","11","14","10","1","276","67","1","0","","","",""
"","","","","162","","","","","","","","","","","","","","","","","","","","",""
"Super Seeds with Grape Seeds ","1 tbsp - 10g","Hemp Seeds, Chia Seed, Grape Seed, Flax seed, Pumpkin seeds, Sun flower seeds","            veg","","1","0","1","46","1","2","3","2","1","46","77","36","40","488","55","1","0","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Super Seeds + Hung Curd  ","     100g","FOS (1.6 cals/g of TDF), Hemp Seeds, curd 3 % Hung (decreamed milk Super Seeds(G S), Date Paste (for DCC & Hung curd)","            veg","","6","0","9","209","6","13","13","10","7","159","396","87","267","2611","278","9","7","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"                Coconut chutney","1 tbsp - 10g","Bengalgram -Dal (uncooked), Coconut fresh, Cooking Oil (G N Oil), Green Chillies, Chutney Coconut","            veg","","0","1","3","28","2","0","2","0","0","7","47","18","3","5","903","119","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dosa Ravva ","1 no (80g)","Rice- White (1 Tb spoon - 15 g) Suji(E) / Dhalia (1 Tb spoon - 12 g) Vital Wheat Gluten Curd 3%  with SMP (Based on decreamed Milk) Butter-Cooking(US) Pepper & Cloves Dhaniya (Coriander) Salt ginger onion green chillies water","            veg","","-0","1","18","126","5","22","2","2","0","131","3","0","0","937","102","7","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Milk Hemp","50ml","Hemp Seeds, water","            veg","","2","0","1","43","2","4","2","1","28","21","67","60","0","0","0","2","0","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seeds Chia with Hemp milk   ","100g","FOS (1.6 cals/g of TDF), Milk Hemp, Chia Seed, Seeds Chia with Hemp milk, FGC (38.3 + con rs 3.5)*1.5 FGC+SE (63*1.5)","            veg","","0","0","10","174","4","13","11","17","0","94","0","0","0","2279","257","6","7","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seeds Super + Hemp milk + Date Jam  ","100g","FOS (1.6 cals/g of TDF) Hemp Seed Super Seeds Date Paste (Thin) Seeds Super + Hemp milk + Date Jam Seeds Super + Hemp milk + DateJam","            veg","","6","0","9","209","6","13","13","10","7","159","396","87","267","2611","278","9","7","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Super Seeds + Date Jam  ","30g","Dates (Seed less), FOS (1.6 cals/g of TDF), Date Orange Marmalade, Super Seeds ","            veg","","-1","0","7","52","1","8","2","2","1","91","44","25","27","293","33","1","6","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
" Vegies Frozen for Shake ","100g","Beetroot, Carrot, raw Radish - White French beans / Alasandalu Kheera","            veg","","-5","0","1","29","1","5","0","3","34","277","41","32","28","364","45","1","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vegetables for Omlet  ","100g","Onion stalks, Capsicum, Red & Yellow Capsicum, Green Kheera, Mushrooms","            veg","","-3","0","0","17","1","2","0","2","54","183","36","33","25","388","57","1","0","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Idli Batter (Bl g - 25% + Rava 75%) ","1 idly-45g batter","Rice- White (1 Tb spoon - 15 g), Blackgram dal (Gundu)","            veg","","-1","0","11","80","2","16","0","1","0","91","0","0","0","636","87","3","0","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
